"anio";"codigo";"localidad";"EDAD_EPIDEMIO";"sexo";"poblacion"
2022;"18";"18-CORRIENTES";"8.35-39";"Varones";34806
2022;"18";"18-CORRIENTES";"9.40-44";"Ambos sexos";68613
2022;"18";"18-CORRIENTES";"9.40-44";"Mujeres";35458
2022;"18";"18-CORRIENTES";"9.40-44";"Varones";33155
2022;"22";"22-CHACO";"1.0-4";"Ambos sexos";111350
2022;"22";"22-CHACO";"1.0-4";"Mujeres";54595
2022;"22";"22-CHACO";"1.0-4";"Varones";56755
2022;"22";"22-CHACO";"10.45-49";"Ambos sexos";66744
2022;"22";"22-CHACO";"10.45-49";"Mujeres";34488
2022;"22";"22-CHACO";"10.45-49";"Varones";32256
2022;"22";"22-CHACO";"11.50-54";"Ambos sexos";55839
2022;"22";"22-CHACO";"11.50-54";"Mujeres";28903
2022;"22";"22-CHACO";"11.50-54";"Varones";26936
2022;"22";"22-CHACO";"12.55-59";"Ambos sexos";51048
2022;"22";"22-CHACO";"12.55-59";"Mujeres";26474
2022;"22";"22-CHACO";"12.55-59";"Varones";24574
2022;"22";"22-CHACO";"13.60-64";"Ambos sexos";46555
2022;"22";"22-CHACO";"13.60-64";"Mujeres";24258
2022;"22";"22-CHACO";"13.60-64";"Varones";22297
2022;"22";"22-CHACO";"14.De 65 anios y mas";"Ambos sexos";109008
2022;"22";"22-CHACO";"14.De 65 anios y mas";"Mujeres";61540
2022;"22";"22-CHACO";"14.De 65 anios y mas";"Varones";47468
2022;"22";"22-CHACO";"15.TODAS LAS EDADES";"Ambos sexos";1227736
2022;"22";"22-CHACO";"15.TODAS LAS EDADES";"Mujeres";622133
2022;"22";"22-CHACO";"15.TODAS LAS EDADES";"Varones";605603
2022;"22";"22-CHACO";"2.5-9";"Ambos sexos";112131
2022;"22";"22-CHACO";"2.5-9";"Mujeres";54942
2022;"22";"22-CHACO";"2.5-9";"Varones";57189
2022;"22";"22-CHACO";"3.10-14";"Ambos sexos";107601
2022;"22";"22-CHACO";"3.10-14";"Mujeres";52329
2022;"22";"22-CHACO";"3.10-14";"Varones";55272
2022;"22";"22-CHACO";"4.15-19";"Ambos sexos";102325
2022;"22";"22-CHACO";"4.15-19";"Mujeres";49935
2022;"22";"22-CHACO";"4.15-19";"Varones";52390
2022;"22";"22-CHACO";"5.20-24";"Ambos sexos";108353
2022;"22";"22-CHACO";"5.20-24";"Mujeres";53300
2022;"22";"22-CHACO";"5.20-24";"Varones";55053
2022;"22";"22-CHACO";"6.25-29";"Ambos sexos";109008
2022;"22";"22-CHACO";"6.25-29";"Mujeres";54156
2022;"22";"22-CHACO";"6.25-29";"Varones";54852
2022;"22";"22-CHACO";"7.30-34";"Ambos sexos";92053
2022;"22";"22-CHACO";"7.30-34";"Mujeres";46719
2022;"22";"22-CHACO";"7.30-34";"Varones";45334
2022;"22";"22-CHACO";"8.35-39";"Ambos sexos";79375
2022;"22";"22-CHACO";"8.35-39";"Mujeres";41030
2022;"22";"22-CHACO";"8.35-39";"Varones";38345
2022;"22";"22-CHACO";"9.40-44";"Ambos sexos";76346
2022;"22";"22-CHACO";"9.40-44";"Mujeres";39464
2022;"22";"22-CHACO";"9.40-44";"Varones";36882
2022;"26";"26-CHUBUT";"1.0-4";"Ambos sexos";51199
2022;"26";"26-CHUBUT";"1.0-4";"Mujeres";25103
2022;"26";"26-CHUBUT";"1.0-4";"Varones";26096
2022;"26";"26-CHUBUT";"10.45-49";"Ambos sexos";41981
2022;"26";"26-CHUBUT";"10.45-49";"Mujeres";20797
2022;"26";"26-CHUBUT";"10.45-49";"Varones";21184
2022;"26";"26-CHUBUT";"11.50-54";"Ambos sexos";33063
2022;"26";"26-CHUBUT";"11.50-54";"Mujeres";16649
2022;"26";"26-CHUBUT";"11.50-54";"Varones";16414
2022;"26";"26-CHUBUT";"12.55-59";"Ambos sexos";28640
2022;"26";"26-CHUBUT";"12.55-59";"Mujeres";14562
2022;"26";"26-CHUBUT";"12.55-59";"Varones";14078
2022;"26";"26-CHUBUT";"13.60-64";"Ambos sexos";25482
2022;"26";"26-CHUBUT";"13.60-64";"Mujeres";13064
2022;"26";"26-CHUBUT";"13.60-64";"Varones";12418
2022;"26";"26-CHUBUT";"14.De 65 anios y mas";"Ambos sexos";61323
2022;"26";"26-CHUBUT";"14.De 65 anios y mas";"Mujeres";34645
2022;"26";"26-CHUBUT";"14.De 65 anios y mas";"Varones";26678
2022;"26";"26-CHUBUT";"15.TODAS LAS EDADES";"Ambos sexos";639294
2022;"26";"26-CHUBUT";"15.TODAS LAS EDADES";"Mujeres";318786
2022;"26";"26-CHUBUT";"15.TODAS LAS EDADES";"Varones";320508
2022;"26";"26-CHUBUT";"2.5-9";"Ambos sexos";52915
2022;"26";"26-CHUBUT";"2.5-9";"Mujeres";25827
2022;"26";"26-CHUBUT";"2.5-9";"Varones";27088
2022;"26";"26-CHUBUT";"3.10-14";"Ambos sexos";52375
2022;"26";"26-CHUBUT";"3.10-14";"Mujeres";25325
2022;"26";"26-CHUBUT";"3.10-14";"Varones";27050
2022;"26";"26-CHUBUT";"4.15-19";"Ambos sexos";49887
